"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-12-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 성동구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"106","서울특별시 성동구 성수동1가","707","0707","0000","서울숲한양현대","59.8900","202512","06","159,000","101","9","개인","개인","1999","상원1길 17","-","중개거래","경기 남양주시, 서울 성동구","26.01.29"
"107","서울특별시 성동구 성수동1가","718","0718","0000","트리마제","84.5402","202512","05","530,000","103","11","개인","개인","2017","왕십리로 16","-","중개거래","서울 성동구, 서울 용산구","26.01.29"
"108","서울특별시 성동구 성수동2가","832","0832","0000","금호타운2차아파트","84.9400","202512","05","138,000","101","5","개인","개인","1997","연무장길 31","-","중개거래","서울 성동구","26.02.26"
"109","서울특별시 성동구 하왕십리동","1071","1071","0000","왕십리자이","59.9900","202512","05","158,000","103","14","개인","개인","2017","난계로 100","-","중개거래","서울 성동구","26.03.31"
"110","서울특별시 성동구 송정동","67-5","0067","0005","히페리온리버팰리스","83.4672","202512","04","96,800","-","7","개인","개인","2022","송정길 32","-","중개거래","서울 성동구","26.02.25"
"111","서울특별시 성동구 성수동2가","286","0286","0000","성수우방2차아파트","84.6450","202512","04","144,500","-","6","개인","개인","1999","성수일로10길 3","-","중개거래","서울 성동구","26.02.25"
"112","서울특별시 성동구 성수동2가","846","0846","0000","E-아름다운세상","83.3500","202512","04","115,000","-","13","개인","개인","2014","광나루로6길 7-1","-","중개거래","서울 성동구","26.01.30"
"113","서울특별시 성동구 마장동","836","0836","0000","라봄성동","18.7962","202512","03","31,750","101","11","공공기관","법인","2025","마조로 66","-","직거래","-","25.12.09"
"114","서울특별시 성동구 마장동","836","0836","0000","라봄성동","18.1338","202512","03","30,650","101","11","공공기관","법인","2025","마조로 66","-","직거래","-","25.12.09"
"115","서울특별시 성동구 마장동","836","0836","0000","라봄성동","18.7962","202512","03","31,750","101","14","공공기관","법인","2025","마조로 66","-","직거래","-","25.12.09"
"116","서울특별시 성동구 마장동","836","0836","0000","라봄성동","18.7962","202512","03","33,050","101","15","공공기관","법인","2025","마조로 66","-","직거래","-","25.12.09"
